['INFO ]2023-07-03 16:43:23,559(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user clicks on Practice Question
['INFO ]2023-07-03 16:43:24,933(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-clearing the tryEditor for Array practice questions
['INFO ]2023-07-03 16:43:24,933(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user clicks on search the array and clear the try editor
['INFO ]2023-07-03 16:43:25,342(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user sends valid python code from excel sheet
['INFO ]2023-07-03 16:43:28,702(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user clicks submit button and checks output
['INFO ]2023-07-03 16:43:29,054(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-clearing the tryEditor for Array practice questions
['INFO ]2023-07-03 16:43:29,155(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user sends invalid python code from excel sheet
['INFO ]2023-07-03 16:43:30,196(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-run button
['INFO ]2023-07-03 16:43:30,196(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user clicks run button
['INFO ]2023-07-03 16:43:30,330(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user checks alert message and navigates back
['INFO ]2023-07-03 16:43:31,890(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-clearing the tryEditor for Array practice questions
['INFO ]2023-07-03 16:43:31,891(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user clicks on max consecutive ones and clear the try editor
['INFO ]2023-07-03 16:43:31,997(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user sends valid python code from excel sheet
['INFO ]2023-07-03 16:43:32,141(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-run button
['INFO ]2023-07-03 16:43:32,932(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user clicks run button and checks output
['INFO ]2023-07-03 16:43:33,286(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-clearing the tryEditor for Array practice questions
['INFO ]2023-07-03 16:43:33,390(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user sends invalid python code from excel sheet
['INFO ]2023-07-03 16:43:33,885(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-run button
['INFO ]2023-07-03 16:43:33,886(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user clicks run button
['INFO ]2023-07-03 16:43:33,981(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user checks alert message and navigates back
['INFO ]2023-07-03 16:43:35,494(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-clearing the tryEditor for Array practice questions
['INFO ]2023-07-03 16:43:35,494(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user clicks on Find numbers with even number of digits and clear the try editor
['INFO ]2023-07-03 16:43:35,623(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user sends valid python code from excel sheet
['INFO ]2023-07-03 16:43:35,680(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-run button
['INFO ]2023-07-03 16:43:35,905(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user clicks run button and checks output
['INFO ]2023-07-03 16:43:35,972(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-clearing the tryEditor for Array practice questions
['INFO ]2023-07-03 16:43:36,029(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user sends invalid python code from excel sheet
['INFO ]2023-07-03 16:43:37,511(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-run button
['INFO ]2023-07-03 16:43:37,511(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user clicks run button
['INFO ]2023-07-03 16:43:37,787(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user checks alert message and navigates back
['INFO ]2023-07-03 16:43:42,106(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-clearing the tryEditor for Array practice questions
['INFO ]2023-07-03 16:43:42,106(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user clicks on the squares of sorted array and clear the try editor
['INFO ]2023-07-03 16:43:42,477(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user sends valid python code from excel sheet
['INFO ]2023-07-03 16:43:42,655(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-run button
['INFO ]2023-07-03 16:43:42,929(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user clicks run button and checks output
['INFO ]2023-07-03 16:43:42,983(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-clearing the tryEditor for Array practice questions
['INFO ]2023-07-03 16:43:43,041(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user sends invalid python code from excel sheet
['INFO ]2023-07-03 16:43:43,119(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-run button
['INFO ]2023-07-03 16:43:43,119(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user clicks run button
['INFO ]2023-07-03 16:43:43,255(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Array Page - user checks alert message and navigates back
